numeric_id,experiment,age,gender,gender_self_describe,ethnicity,ethnicity_self_describe,education,employment,location,income,condition,experiment_condition,video_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,deepfake_video_check,deepfake_concept_check,issues_with_study,political_ideology_identity_1,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,ras_q1,ras_q2,ras_q3,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,q1_bcti,q2_bcti,q3_bcti,q4_bcti,q5_bcti,q6_bcti,q7_bcti,q8_bcti,q9_bcti,q10_bcti,q11_bcti,q12_bcti,q13_bcti,q14_bcti,q15_bcti,ocq_1,ocq_2,ocq_3,ocq_4,ocq_5,ocq_6,ocq_7,ocq_8,ocq_9,ocq_10,ocq_11,ocq_12,ocq_13,ocq_14,ocq_15,ocq_16,ocq_17,ocq_18,ocq_19,ocq_20,ocq_21,ocq_22,ocq_23,ocq_24,ocq_25,ocq_26,ocq_27,ocq_28,ocq_29,ocq_30,q1_rei,q2_rei,q3_rei,q4_rei,q5_rei,q6_rei,q7_rei,q8_rei,q9_rei,q10_rei,q11_rei,q12_rei,q13_rei,q14_rei,q15_rei,q16_rei,q17_rei,q18_rei,q19_rei,q20_rei,crt_q1,crt_q2,crt_q3,crt_q4,crt_q5,crt_q6,crt_q7,crt_q8,crt_q9
1,5,63,female,NA,White,NA,Associate degree,Employed (part-time),United Kingdom,"$35,000 to $49,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,-0.08193084182146967,"He was going to answer 5 questions, he as a brother and sister, Tom and Susan who live  fairly nearby. Chris cheated in his final college exam and does not regret it.
Chris would not give up his seat for a pregnant woman and says it is not his problem if she is pregnant.
Chris visits his grandmother every weekend as he is hoping to get her house when she passes away",Strongly_Diagnostic,No Demand,No Reactance,If we had an opinion about someone based on a few statements from them?,Absolutely! Although I did wonder if Chris was really this shallow and uncaring.,"No, never heard of deep faking but I did wonder if Chris really meant what he said.","I knew that videos could be altered but I did not know about deep faking,",no issues,Moderately Agree,Somewhat Liberal,Somewhat Liberal,Christian,I agree,I don't know,I don't know,I agree,I agree,I don't know,I don't know,I don't know,1,1,5,3,4,1,2,2,2,1,4,5,5,4,1,6,0,0,0,6,6,3,3,3,1,1,6,3,3,0,2,5,5,3,6,1,6,0,4,0,6,0,0,4,6,2,6,5,2,5,4,2,6,5,4,5,5,2,5,1,5,6,1,1,3,8,10,39,2nd,15,Emily,0,no,0
2,5,30,female,NA,White,NA,Some college,Unemployed (looking),United Kingdom,"$75,000 to $99,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.21328261459941517,"He has two siblings named Tom and Susan
He helped a friend at collage with his final exam
He believes in chivalry (would give up his seat on the bus for a pregnant women)
He has recently moved to a new apartment and had his hair cut
Spends a lot of time with his grandmother",Moderately_Diagnostic,No Demand,No Reactance,"Whether people answer questions honestly or are more inclined to give answers that researchers want to hear.
How we make judgements about people based on youtube videos.",The youtube video did influence my opinion on Chris.,I suspected something was a bit off with the video,I was aware but have never watched one (or been aware that I was watching one),No problems :),Moderately Agree,Somewhat Liberal,Moderate,Christian,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I agree,5,3,3,3,2,4,3,2,4,2,7,2,3,4,2,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,4,3,0,5,4,5,4,4,0,2,0,3,3,4,3,6,5,4,5,3,3,5,4,3,6,5,3,4,3,5,5,3,3,3,4,10,39,second place,8,Emily,27 cubic feet,yes,3
3,5,20,female,NA,White,NA,Some college,Student,United Kingdom,"Less than $25,000",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.318837641697827,"2 siblings, brother and sister living in the same small town a bus ride away
believes in chivalry, will give up seat for pregnant woman
spends his weekends with grandma to help her and spend time with her before she passes on
moved into a new apartment and has a new haircut
",Slightly_Diagnostic,No Demand,No Reactance,i dont know,"he felt empty but i thought maybe it was because he was not camera confident, but he just seemed a bit wooden and awkward and saying cringey things but i felt neutral towards him","i have never heard of deepfaking, i thought it was a bit suspicious but figured it was one of the researchers who had no acting background playing a character, so no i had not realised",no,no issues but a super intersting study and im glad i had the opportunity to take part!!,Moderately Agree,Strongly Liberal,Strongly Liberal,Atheist,I strongly disagree,I strongly disagree,I strongly disagree,I disagree,I disagree,I disagree,I don't know,I strongly disagree,2,4,5,5,5,2,3,8,8,4,3,3,4,8,6,6,0,0,0,6,6,0,5,6,0,0,6,0,0,0,6,6,6,0,6,3,6,6,6,1,6,0,6,4,6,4,4,2,5,3,2,4,3,2,6,2,4,3,2,3,2,2,6,5,4,8,50,39,2nd,7,emily,27,yes,1
4,5,64,male,NA,White,NA,Associate degree,Retired,United Kingdom,"$25,000 to $34,999",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,3,3,3,3,0.5377026811608967,New to video making. Asked five questions and answered them truthfully and hoped there were no embarrassing ones,Moderately_Diagnostic,No Demand,Reactance,Ability to associate positive and negative with names and swapping,Probably did influence me,Not at all,Had an inkling,no,Strongly disagree,Moderate,Moderate,No religion,I don't know,I don't know,I don't know,I disagree,I strongly disagree,I strongly disagree,I don't know,I strongly disagree,3,2,5,2,2,4,6,3,4,5,4,4,5,7,3,1,0,0,0,1,3,0,2,4,1,0,4,0,0,0,2,3,3,0,1,2,3,2,1,0,0,0,1,2,4,3,5,6,3,5,3,2,6,6,3,5,5,3,5,3,5,5,3,3,3,8,10 seconds,41,second,8,Emily,27,no,0
5,5,21,female,NA,White,NA,Bachelor,Unemployed (looking),Canada,"$35,000 to $49,999",C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,0.2742355530120763,"5 facts about himself
- has a brother and sister, tom and susan, lives in same town, about a bus ride away
- thinks chivalry does not exist, won't give up seat to a pregnant woman
- cheated on final exam in college, does not regret it
- got a new haircut and moved apartments
- spending time with grandma so he gets house when she passes away",Moderately_Diagnostic,No Demand,No Reactance,judging people based on character,"yes, the things he shared made me dislike him more","there were a couple moments when the audio looked off, but it never crossed my mind that it could have been deepfaked",yes i knew that!,no issues!,Moderately Agree,Strongly Liberal,Somewhat Liberal,No religion,I don't know,I disagree,I disagree,I disagree,I agree,I agree,I don't know,I don't know,6,1,2,3,2,4,8,5,3,3,9,2,2,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,2,0,2,6,4,5,3,5,6,6,6,6,5,2,5,4,4,6,5,5,4,5,4,8,50,20,first,7,emily,27,yes,2
6,5,43,female,NA,White,NA,Some college,Employed (part-time),United Kingdom,"$25,000 to $34,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.22707490093415927,"That he has a brother and sister Tom and Susan who live a bus ride away from him.
He cheated on his final college exam and doesn't regret it as he would have failed otherwise
He doesn't believe in chivalry and won't give up a seat on a bus to a pregnant woman
He has moved house and has had a haircut recently
He spends a lot of time helping his grandmother as he hopes to inherit her house",Strongly_Diagnostic,No Demand,No Reactance,If reading positive and negative words with a person's photo changes the traits you associate them with.,"Yes , although I obviously know it was an actor not the real words and thoughts of the person playing Chris",I knew it was an actor and what he said was not sure but I didn't know it was computer generated.,yes but didn't know much about it,no issues,Strongly Agree,Strongly Liberal,Strongly Liberal,Atheist,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,1,3,3,1,1,4,1,4,2,1,5,2,6,4,1,4,0,0,0,3,5,0,4,4,0,0,1,0,1,0,0,6,3,0,4,0,2,6,3,0,0,0,1,4,6,2,6,5,4,5,2,2,6,5,4,4,6,1,4,1,5,6,1,2,2,8,5,3,3,7,Emily,0,yes,2
7,5,18,male,NA,Asian,NA,Less than high school,Student,Mongolia,"$150,000 to $199,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,idk,Strongly_Diagnostic,NA,NA,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Liberal,Strongly Liberal,No religion,I strongly disagree,I strongly disagree,I disagree,I don't know,I strongly disagree,I strongly agree,I strongly disagree,I disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,37,female,NA,White,NA,High school,Homemaker,United Kingdom,"$25,000 to $34,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.4198560243403314,"He told us he had a brother and sister that lived in the same town, he helped a friend with an exam in college, he likes to help his grandmother",Moderately_Diagnostic,No Demand,No Reactance,Associating words with a feeing about a person,Yes as it revealed personal information about him,I noticed something strange about his mouth so wondered if it had been altered somehow,no,no issues,Neither agree nor disagree,Moderate,Moderate,No religion,I strongly disagree,I don't know,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,1,7,3,1,6,1,6,1,7,6,1,7,7,3,1,4,0,0,0,0,4,0,2,1,0,0,3,0,0,0,0,5,3,0,1,2,3,3,2,0,0,0,2,1,5,1,5,5,6,6,1,1,6,6,7,2,6,1,4,4,6,6,4,1,2,8,10,10,second,8,Emily,0,yes,2
9,5,57,male,NA,White,NA,Doctoral degree,Self-employed,United Kingdom,"$35,000 to $49,999",C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,0.2515677833751454,"He has two siblings, a brother and a sister who live in the same town. He cheated on is exams. He has just had a haircut. He won't stand up for a heavily pregnant woman on a bus. He spends time with his grandmother in the hope of inheriting her home.",Strongly_Diagnostic,No Demand,No Reactance,I don't know,"Completely. He clearly outlined his values in the questions he answered and showed that he was dishonest, insincere, selfish and rude.",NA,NA,NA,Strongly Agree,Strongly Liberal,Strongly Liberal,Agnostic,I don't know,I don't know,I disagree,I disagree,I don't know,I disagree,I don't know,I disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,5,5,2,2,5,5,5,5,6,4,4,2,4,5,3,2,3,8,50,39 days,1st,7,June (although not necessarily),27,no,NA
10,5,58,female,NA,White,NA,High school,Self-employed,United Kingdom,"$35,000 to $49,999",C1. Positive_Video_IAT_First (Con B First),positive video,deepfake video,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.7442491563675896,"He makes videos during the week. He spends his weekends helping his grandmother around the house as he want to do that to ensure he can spend as much time as possible with her before she passes on. He is chivalrous and will offer his seat to a heavily pregnant woman on the bus. He has a brother and sister called Tom and Susan who live a bus ride away. He has recently moved to a new flat and got a haircut, so his videos look different.",Moderately_Diagnostic,No Demand,No Reactance,That word association and images can affect ones opinions on people we do not know.,No just feel very neutral he didn't make  me like or dislike him,No I did not,I had heard about it but never watched a video that was deepaked,no issues,Somewhat disagree,Moderate,Moderate,Christian,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I don't know,I don't know,2,2,2,1,1,1,3,2,2,3,2,2,3,1,1,3,0,0,0,0,4,2,0,2,0,1,0,0,0,0,5,5,2,5,1,1,1,1,0,0,0,0,1,1,5,5,3,5,5,4,2,5,5,4,5,3,5,3,4,3,4,3,4,5,3,4,`10,20,second,8,emily,27,yes,2
11,5,24,female,NA,Black,NA,Masters,Employed (full time),United Kingdom,"$75,000 to $99,999",C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,1,1,0,0.67,0.4280265297598381,"He has two siblings (a brother and sister) that live a bus ride away.
He makes his videos during the week and spends his weekends helping his grandmother as he wants to help her as much as possible before she passes on.
He always gives up his seat on the bus for a heavily pregnant woman.
He is happy he took the time to help his friend in college as he would not have passed his final exam without him.
Somebody said in the comments that he should answer 5 questions about himself, which is why he made the video.",Slightly_Diagnostic,No Demand,No Reactance,Association of positive words and negative words with the prior video as an influence.,Yes.,"I did not realise the video had been deep faked. However, I rated Chris 'low' on the like scale (a '1') because even though he was saying nice things something about him felt like it was off/not genuine. Almost like an uncanny valley feeling.","Vaguely, but I was not aware of it to the extent that I even considered the possibility that the video I watched deep faked.",No issues.,Somewhat Agree,Strongly Liberal,Strongly Liberal,Other not listed,I don't know,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I don't know,1,2,3,1,7,1,1,6,2,1,1,2,1,5,2,5,0,3,5,0,5,1,1,4,0,5,5,1,0,4,5,5,5,0,5,0,5,5,4,1,5,0,5,5,5,2,5,2,5,3,3,2,3,3,6,7,3,2,2,2,2,2,5,1,1,8,10,39,2,8,Emily,27,no,0
12,5,27,female,NA,White,NA,Bachelor,Self-employed,Canada,"$35,000 to $49,999",C1. Positive_Video_IAT_First (Con B First),positive video,genuine video,iat first,learning consistent block First,complete,TRUE,2,3,2,2.33,0.911765331312087,"Chris said that he has two siblings, a brother named Tom and a sister named Susan, both of whom live in the same small town as him (just a bus ride away). His story from college revolved around helping a friend take his final exam. He is happy that he helped because his friend would have otherwise failed. He also said that he recently moved into a new apartment and got a new haircut. Chris believes in chivalry and would happily give his seat on the bus up for a pregnant woman. Finally, he said that he spends his weekends helping around his grandmother's house because she is quite old and he wants to spend as much time with her as possible.",Strongly_Diagnostic,No Demand,No Reactance,Perhaps to see how negatively associated words would impact my perception of Chris.,"Yes, I ""like him"" based on the things he said in the video and how I perceive him based on what those things say about his character.",Not at all. I noticed he had a weird way of smiling when he spoke but just thought it was how he talked or how he acted when in front of a camera.,yes,no issues,Somewhat Agree,Strongly Liberal,Strongly Liberal,Agnostic,I don't know,I disagree,I disagree,I don't know,I disagree,I disagree,I strongly agree,I disagree,3,3,4,5,5,1,8,4,5,7,2,8,7,7,4,6,2,0,0,0,6,0,0,2,3,0,2,0,5,0,2,6,6,0,4,6,6,6,6,6,0,1,6,6,6,1,6,6,3,6,1,1,6,5,2,7,6,1,5,1,5,6,2,2,1,4,10 seconds,39,2nd,8,Emily,none - it's a hole.,yes,4
13,5,38,male,NA,White,NA,Associate degree,Employed (full time),United Kingdom,"$50,000 to $74,999",C4. Negative_Video_SR_First (Con B First),negative video,deepfake video,ratings first,learning consistent block First,complete,TRUE,-2,-3,-2,-2.33,-0.14771239455536012,"He has two siblings Susan and Tom, who live in the same town he does a bus ride away. 
He cheated on his final college exam he wouldn't have passed if he didn't cheat
He isn't chivalrous, he wouldn't give up his seat on a bus for a heavily pregnant woman as it isn't his problem if she needs it
He has recently changed his haircut, there was a second thing maybe he moved or decorated his apartment but can't really remember clearly
He spends his weekends helping his grandmother, in order to give himself a better position to gain the house as inheritance when she passes away",Moderately_Diagnostic,No Demand,No Reactance,To see if people could make their minds up about a person over social media despite only seeing a brief insight into their lives,"Of course it did.

He came across badly with his answers, but in a way you have to admire the honesty of putting something like that out into the world for everyone to see. But it was only a brief insight into what he was like a person but enough to feel offputting and negative towards him",Not a clue at all that I was watching a deepfake video,"I did , I have seen them before with prior knowledge I was watching a deepfake",No issues,Somewhat Agree,Somewhat Liberal,Somewhat Liberal,No religion,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,I strongly disagree,3,2,2,1,4,1,6,1,7,5,7,5,7,7,3,6,0,0,0,4,6,0,5,6,6,0,4,0,3,0,6,6,6,0,4,5,4,5,5,0,3,0,3,4,6,2,6,4,3,4,2,2,4,4,2,5,3,2,4,2,4,4,3,3,3,8,10 seconds,20,second,8,Emily,don't know,yes,1
14,5,21,female,NA,Black,NA,Some college,Student,South Africa,"$50,000 to $74,999",C3. Negative_Video_IAT_First (Con B First),negative video,deepfake video,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,0.2513418928700419,"he has 2 siblings, a brother named tom and a sister named susan, they live a bus ride away from him
he doesn't believe in chivalry, he wouldn't give up his bus seat if he saw a pregnant woman standing, he says it's not his fault if she needs it more than him
he recently moved to a new apartment, and he got a new haircut, which had mentioned in a previous video (that is what was new about his youtube videos)
he spends his weekends mostly with his grandmother, who owns her house, and he spends his weekends with her so that he can hopefully get her house when she passes away.",Slightly_Diagnostic,No Demand,No Reactance,trying to see if assigning positive or negative aspects to a person can influence how someone feels about them or change how someone felt about someone.,"yes, i think so, because Chris presented himself as a person who wasn't very generous or chivalrous and that knocked some points off for him because it made him seem like kind of a 'douche' if i can say/if that makes sense.","i suspected that it might have been 'staged', the term 'deepfaked' didn't come to mind.","yes, i've watched series and movies which have addressed issues of 'deepfaked' videos.",no issues,Neither agree nor disagree,Somewhat Liberal,Somewhat Liberal,Christian,I strongly agree,I agree,I don't know,I agree,I agree,I agree,I agree,I agree,1,3,4,3,4,1,4,1,3,4,2,1,3,7,1,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,6,1,0,3,0,3,1,1,1,0,4,0,6,6,2,6,6,2,5,2,2,6,5,3,5,5,2,6,3,5,5,2,2,3,8 years old,50 seconds,20 days,second place,8 sheep,Emily,3 cubic feet,no,NA
15,5,30,Non-binary,NA,White,NA,High school,Self-employed,United States of America,Prefer not to say,C2. Positive_Video_SR_First (Con B First),positive video,deepfake video,ratings first,learning consistent block First,complete,TRUE,3,3,2,2.67,-0.02094123971758663,"#1. He has a brother and a sister.
#2. He recently got a haircut.
#3. He recently moved.
#4. He likes to help his grandma on the weekends.
#5. He records videos during the week.",Moderately_Diagnostic,No Demand,No Reactance,The researchers want to determine how people form impressions of others.,"Yes, I do. From what I can see in the video, he seems like a nice guy (i. e. the part where he talks about his grandma).","No way, I thought this was an authentic video.","I knew it was possible to create deepfakes, but not to this degree.",No issues,Strongly Agree,Somewhat Liberal,Moderate,No religion,I agree,I don't know,I don't know,I agree,I don't know,I don't know,I agree,I don't know,1,5,6,1,8,1,3,6,6,2,5,6,8,1,6,3,3,0,3,3,5,0,3,3,0,0,5,2,5,2,5,5,4,0,5,4,4,4,4,4,4,1,4,5,5,2,5,5,3,5,2,2,5,3,2,3,3,2,3,2,3,3,2,2,2,8,10,20,1st,7,June,3 cubic feet,no,0
